City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Aleksandrov Gay,RU,50.147,48.5704,19.44,92,6,8.46,clear sky
172,Ambanja,MG,-13.6833,48.45,73.51,96,100,8.75,moderate rain
173,New Norfolk,AU,-42.7826,147.0587,56.7,56,47,4.0,scattered clouds
174,Santa Rosa,PH,14.3122,121.1114,78.12,81,82,12.08,broken clouds
175,Aklavik,CA,68.2191,-135.0107,-4.0,84,100,4.61,light snow
176,Yeppoon,AU,-23.1333,150.7333,73.18,81,70,13.13,broken clouds
177,Nuevitas,CU,21.5453,-77.2644,76.77,59,0,10.83,clear sky
178,Salalah,OM,17.0151,54.0924,73.49,73,0,1.14,clear sky
179,Shenjiamen,CN,29.9576,122.298,41.7,54,1,6.53,clear sky
180,Bambous Virieux,MU,-20.3428,57.7575,79.05,94,75,13.8,moderate rain
181,Pacific Grove,US,36.6177,-121.9166,56.25,70,0,5.99,clear sky
182,Samarai,PG,-10.6167,150.6667,81.75,79,100,10.71,overcast clouds
183,Mossendjo,CG,-2.9506,12.7261,69.89,96,93,1.83,overcast clouds
184,Kargil,IN,34.5667,76.1,0.77,99,100,1.32,light snow
185,Qaqortoq,GL,60.7167,-46.0333,26.92,74,100,7.67,overcast clouds
186,Somerset,US,40.5668,-74.5496,52.29,61,91,7.0,overcast clouds
187,Kodinsk,RU,58.6881,99.1844,-48.51,100,54,3.31,broken clouds
188,Ribnitz-Damgarten,DE,54.25,12.4667,30.06,100,95,11.01,overcast clouds
189,Luderitz,NA,-26.6481,15.1594,66.65,84,8,12.01,clear sky
190,Seoul,KR,37.5683,126.9778,24.24,83,0,4.61,clear sky
191,Xai-Xai,MZ,-25.0519,33.6442,77.58,83,100,10.45,overcast clouds
192,Cabedelo,BR,-6.9811,-34.8339,75.87,81,86,11.83,overcast clouds
193,Cidreira,BR,-30.1811,-50.2056,74.57,86,100,12.82,overcast clouds
194,Nyurba,RU,63.2842,118.3319,-69.57,100,67,1.83,broken clouds
195,Borba,BR,-4.3878,-59.5939,71.92,99,100,2.64,light rain
196,Choix,MX,26.7092,-108.3219,76.03,24,55,6.82,broken clouds
197,Jamestown,US,42.097,-79.2353,35.94,60,100,12.66,mist
198,Adrar,MR,20.5022,-10.0711,65.53,33,83,9.95,broken clouds
199,Clyde River,CA,70.4692,-68.5914,-19.97,69,20,8.05,few clouds
200,Dubbo,AU,-32.25,148.6167,68.13,94,75,4.61,broken clouds
201,North Bend,US,43.4065,-124.2243,44.17,96,75,10.36,broken clouds
202,Mandalgovi,MN,45.7625,106.2708,-7.26,66,26,17.05,scattered clouds
203,Belyy Yar,RU,53.6039,91.3903,4.89,82,40,0.0,light shower snow
204,Baracoa,CU,20.3467,-74.4958,76.42,64,10,8.72,clear sky
205,Zyryanka,RU,65.75,150.85,-23.33,97,100,11.34,overcast clouds
206,Arua,UG,3.0201,30.9111,69.51,36,13,4.97,few clouds
207,Nouadhibou,MR,20.931,-17.0347,66.18,59,70,16.11,broken clouds
208,Harper,LR,4.375,-7.7169,80.02,82,82,6.62,broken clouds
209,Margate,GB,51.3813,1.3862,35.69,86,5,1.99,clear sky
210,Burnie,AU,-41.0667,145.9167,51.94,75,13,10.4,few clouds
211,Plettenberg Bay,ZA,-34.0527,23.3716,73.0,87,99,4.76,overcast clouds
212,Narsaq,GL,60.9167,-46.05,30.42,83,100,8.1,overcast clouds
213,Codrington,AU,-38.2667,141.9667,58.14,52,100,14.29,overcast clouds
214,San Vicente,AR,-26.6167,-54.1333,76.48,72,65,1.86,broken clouds
215,Olafsvik,IS,64.8945,-23.7142,26.26,81,69,16.89,broken clouds
216,Fort Nelson,CA,58.8053,-122.7002,10.94,85,100,0.0,mist
217,Tsalka,GE,41.5946,44.0891,25.88,70,97,5.77,overcast clouds
218,Conceicao Do Araguaia,BR,-8.2578,-49.2647,72.52,93,100,4.5,moderate rain
219,Castro,BR,-24.7911,-50.0119,62.06,96,90,5.37,moderate rain
220,Laukaa,RU,58.7372,29.8453,36.03,98,100,9.04,overcast clouds
221,Kabinda,CD,-6.1333,24.4833,65.23,96,50,2.39,scattered clouds
222,Hambantota,LK,6.1241,81.1185,71.94,100,20,3.44,few clouds
223,Port Lincoln,AU,-34.7333,135.8667,60.04,61,100,15.77,overcast clouds
224,Saint-Ambroise,CA,48.5501,-71.3324,29.8,59,100,10.36,overcast clouds
225,Bouna,CI,9.2667,-3.0,77.43,17,22,4.81,few clouds
226,Chokurdakh,RU,70.6333,147.9167,-32.85,100,26,6.85,scattered clouds
227,Port-Gentil,GA,-0.7193,8.7815,80.56,89,40,4.61,scattered clouds
228,Cairns,AU,-16.9167,145.7667,78.06,90,75,6.91,broken clouds
229,Kaitangata,NZ,-46.2817,169.8464,67.84,66,19,3.62,few clouds
230,Mount Pleasant,US,32.7941,-79.8626,73.09,82,0,9.22,clear sky
231,Airai,TL,-8.9266,125.4092,60.62,94,100,1.77,moderate rain
232,Tepalcatepec,MX,19.1833,-102.85,88.7,23,95,4.23,overcast clouds
233,Hamilton,US,39.1834,-84.5333,45.59,85,100,5.75,overcast clouds
234,Lebu,CL,-37.6167,-73.65,63.99,69,1,9.37,clear sky
235,Faanui,PF,-16.4833,-151.75,80.58,72,19,14.92,light rain
236,Nagato,JP,34.3833,131.2,41.34,65,92,4.05,light rain
237,Ossora,RU,59.2353,163.0719,-3.28,86,100,9.31,overcast clouds
238,Quthing,LS,-30.4,27.7003,74.05,36,77,4.88,broken clouds
239,Havoysund,NO,70.9963,24.6622,28.63,83,100,12.88,overcast clouds
