,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
466,Monrovia,LR,76.77,overcast clouds,6.3005,-10.7969,Bella Casa Hotel
468,Maceio,BR,81.84,scattered clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
469,Bairiki,KI,82.4,light rain,1.3292,172.9752,Marry's Motel
471,Tual,ID,83.08,overcast clouds,-5.6667,132.75,Suita
472,Oyem,GA,68.83,scattered clouds,1.5995,11.5793,Mvett Palace
476,Mackay,AU,79.68,scattered clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
482,Christchurch,NZ,72.41,scattered clouds,-43.5333,172.6333,Ibis Hotel Christchurch
483,Nabire,ID,74.68,overcast clouds,-3.3667,135.4833,Hotel Anggrek
493,Bodden Town,KY,82.4,few clouds,19.2833,-81.25,Turtle Nest Inn
497,Emerald,AU,72.34,clear sky,-23.5333,148.1667,Emerald Central Hotel
503,Rio Grande,BR,78.91,scattered clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
506,Monte Escobedo,MX,66.96,broken clouds,22.3,-103.5833,La Muralla
507,Te Anau,NZ,68.74,few clouds,-45.4167,167.7167,Lakeside Motels & Apartments
509,Kahului,US,80.83,clear sky,20.8947,-156.47,Maui Seaside Hotel
513,Puerto El Triunfo,SV,82.09,clear sky,13.2833,-88.55,Motel Jardín
515,Acaponeta,MX,82.36,scattered clouds,22.4964,-105.3594,Hotel Quinta Blanca
518,Sao Miguel Do Araguaia,BR,75.18,light rain,-13.275,-50.1628,Hotel São Miguel
521,Rocha,UY,75.09,overcast clouds,-34.4833,-54.3333,Hotel Municipal
523,Mongu,ZM,67.41,light rain,-15.2484,23.1274,Country Lodge
528,Bacolod,PH,75.63,overcast clouds,10.6667,122.95,Northwest Inn
533,Anloga,GH,81.07,broken clouds,5.7947,0.8973,Hotel de White House
534,Ikom,NG,76.69,broken clouds,5.9667,8.7063,Gold Palm Hotels
544,Meulaboh,ID,72.54,overcast clouds,4.1363,96.1285,Hotel Meuligou
545,Namatanai,PG,81.88,light rain,-3.6667,152.4333,Namatanai Hotel
551,Neuquen,AR,89.49,clear sky,-38.9516,-68.0591,Hotel Argentina 307
553,The Valley,AI,80.46,few clouds,18.217,-63.0578,CeBlue
562,Iquique,CL,75.24,scattered clouds,-20.2208,-70.1431,Hostal Vivar
573,Banjar,ID,76.93,overcast clouds,-8.19,114.9675,Villa Banjar Beach
577,Celestun,MX,82.22,broken clouds,20.8667,-90.4,Hotel Flamingo Playa
588,Salinopolis,BR,74.55,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
592,Coquimbo,CL,67.73,few clouds,-29.9533,-71.3436,Hotel Iberia
599,Cascas,PE,72.0,broken clouds,-7.4833,-78.8167,Hospedaje Danielito
604,George Town,MY,79.95,few clouds,5.4112,100.3354,Page 63 hostel
605,Port Hedland,AU,77.05,light rain,-20.3167,118.5667,The Esplanade Hotel
609,Tahoua,NE,73.38,clear sky,14.8888,5.2692,Hotel Bungalow
610,Sur,OM,71.78,overcast clouds,22.5667,59.5289,Sur Hotel
617,Soyo,AO,79.83,light rain,-6.1349,12.3689,Hotel Maria Teres
618,Kousseri,CM,67.96,clear sky,12.0769,15.0306,Hôtel le CONFORT FREDI
626,Hinatuan,PH,75.0,broken clouds,8.3722,126.3342,Lucky Cha Hometel
636,Wewak,PG,77.97,light rain,-3.5534,143.6268,Village Inn
637,Port Shepstone,ZA,75.9,overcast clouds,-30.7414,30.455,The Spot Backpackers'
638,Namibe,AO,74.77,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
644,Mabaruma,GY,72.77,broken clouds,8.2,-59.7833,Monty Brooms Hotel
659,Trinidad,BO,77.86,light rain,-14.8333,-64.9,Hotel Palace
664,Sabang,ID,80.06,overcast clouds,5.8933,95.3214,Sabang Hill
666,Kendari,ID,74.48,light rain,-3.945,122.4989,City Hotel Kendari
667,Mercedes,AR,83.79,light rain,-34.6515,-59.4307,Gran Hotel Mercedes
670,Champerico,GT,81.88,few clouds,14.3,-91.9167,Hotel y Restaurante El Submarino
671,San Ignacio,BZ,87.1,clear sky,17.1561,-89.0714,Rainforest Haven Inn
673,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Deyna's City Inn
676,Bandar-E Lengeh,IR,66.74,broken clouds,26.5579,54.8807,Old owner do not like foreigners hotel
677,Binabalian,PH,78.39,few clouds,16.4202,119.9279,Dos Flores Resort
683,Tuy Hoa,VN,69.37,overcast clouds,13.0833,109.3,Vinh Tuan Hotel
687,Corn Island,NI,80.42,scattered clouds,12.1694,-83.0418,Sunrise Hotel
690,Voh,NC,79.79,scattered clouds,-20.9667,164.7,Le Vook
691,Cape Canaveral,US,74.05,clear sky,28.4058,-80.6048,Holiday Inn Club Vacations Cape Canaveral Beach Resort
694,Rio Gallegos,AR,71.02,clear sky,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
695,Catamarca,AR,82.58,broken clouds,-28.4696,-65.7852,Hotel de Turismo
696,Tarakan,ID,77.59,broken clouds,3.3,117.6333,Hotel Dynasty
